연도,월,연월,수출입구분,수출입구분설명,물동량
2023,12,2023-12,OO,수출,445939.25
2022,8,2022-08,II,수입,446670
1992,6,1992-06,II,수입,91303
1993,3,1993-03,OO,수출,136570
1994,1,1994-01,II,수입,148232
1995,5,1995-05,II,수입,187148
2001,3,2001-03,IT,수입환적,134358.5
2001,11,2001-11,II,수입,224691.25
2002,5,2002-05,IT,수입환적,170543.5
2002,10,2002-10,OO,수출,241344.25
2004,4,2004-04,OT,수출환적,206900.75
2007,2,2007-02,IT,수입환적,230332.25
2006,10,2006-10,II,수입,291845.5
2007,9,2007-09,OO,수출,317566.25
2007,12,2007-12,OO,수출,321280.5
2010,3,2010-03,IT,수입환적,269364
2012,6,2012-06,OO,수출,372452.5
2017,9,2017-09,OO,수출,443760.75
2013,4,2013-04,IT,수입환적,387174.5
2013,12,2013-12,OO,수출,384749
2012,2,2012-02,IT,수입환적,277283.75
2014,2,2014-02,IT,수입환적,313752
2014,10,2014-10,OO,수출,407854.75
2015,3,2015-03,IT,수입환적,409222.75
2021,12,2021-12,II,수입,441325.75
2021,7,2021-07,II,수입,428459
2024,9,2024-09,OT,수출환적,509469
1992,2,1992-02,II,수입,91669
1995,6,1995-06,II,수입,180909.75
1997,9,1997-09,II,수입,222075.25
1999,4,1999-04,OO,수출,204372.5
2000,10,2000-10,II,수입,334489.75
2002,1,2002-01,II,수입,210974.25
2005,7,2005-07,II,수입,280842.25
2008,8,2008-08,IT,수입환적,271858.5
2007,11,2007-11,IT,수입환적,211919.25
2008,3,2008-03,II,수입,367217
2009,8,2009-08,IT,수입환적,232521
2011,3,2011-03,OO,수출,396331.5
2011,11,2011-11,IT,수입환적,326357.5
2017,8,2017-08,OO,수출,420756
2013,2,2013-02,OT,수출환적,320508.75
2016,6,2016-06,OO,수출,404103.5
2015,4,2015-04,II,수입,416578.5
2019,11,2019-11,OO,수출,427678.5
2020,11,2020-11,OT,수출환적,539646.75
1994,9,1994-09,OO,수출,142620
1997,12,1997-12,OO,수출,185735
1998,5,1998-05,OO,수출,223099.25
2000,11,2000-11,II,수입,329736.25
2000,11,2000-11,OO,수출,208993.5
2003,11,2003-11,II,수입,270693
2004,8,2004-08,OT,수출환적,188413.25
2006,1,2006-01,OO,수출,263369
2005,1,2005-01,OO,수출,274974.5
2006,7,2006-07,II,수입,281588.25
2008,8,2008-08,OT,수출환적,259351.5
2011,6,2011-06,II,수입,378785.75
2017,11,2017-11,IT,수입환적,425489.25
2015,12,2015-12,IT,수입환적,436907.75
2016,2,2016-02,OT,수출환적,427283.25
2015,1,2015-01,II,수입,387910.75
2022,2,2022-02,OO,수출,407724.25
2021,2,2021-02,IT,수입환적,449011.5
2022,11,2022-11,IT,수입환적,457839.75
2024,11,2024-11,OO,수출,444568.5
2024,10,2024-10,OT,수출환적,573844.75
2022,9,2022-09,OT,수출환적,419859.75
1993,12,1993-12,II,수입,142135
1995,3,1995-03,II,수입,176534.25
2001,1,2001-01,OO,수출,192615.25
2006,5,2006-05,OT,수출환적,223249.5
2007,5,2007-05,OO,수출,315376.5
2011,7,2011-07,II,수입,377472.5
2017,1,2017-01,OO,수출,401104.5
2018,8,2018-08,OT,수출환적,479255.5
2012,9,2012-09,OO,수출,383730.5
2014,3,2014-03,OO,수출,402860.75
2017,6,2017-06,OO,수출,447925.5
2014,9,2014-09,II,수입,380106.5
2018,5,2018-05,II,수입,462497.25
2018,4,2018-04,OT,수출환적,455978.5
2018,11,2018-11,OT,수출환적,534513.5
2019,12,2019-12,IT,수입환적,507396.75
2023,12,2023-12,II,수입,451874.5
2024,4,2024-04,OT,수출환적,543262.25
2025,1,2025-01,OO,수출,434429.5
1995,1,1995-01,OO,수출,149168
1997,12,1997-12,II,수입,226551.5
2000,2,2000-02,OO,수출,197753.5
1999,8,1999-08,OO,수출,205384
2001,8,2001-08,II,수입,201584.25
2006,6,2006-06,OO,수출,279924.25
2007,9,2007-09,IT,수입환적,233145.5
2007,11,2007-11,II,수입,318917.75
2011,4,2011-04,II,수입,395781.75
2011,7,2011-07,IT,수입환적,347067.25
2013,2,2013-02,OO,수출,333878.25
2013,9,2013-09,OT,수출환적,343645.75
2014,11,2014-11,OT,수출환적,399698.25
2014,7,2014-07,OT,수출환적,408443.25
2016,5,2016-05,IT,수입환적,412678
2015,5,2015-05,II,수입,401813.25
2015,3,2015-03,OT,수출환적,431836.5
2018,3,2018-03,OO,수출,449779.5
2019,2,2019-02,IT,수입환적,442180.5
2022,2,2022-02,II,수입,389161
2022,3,2022-03,OO,수출,449579.25
1993,4,1993-04,OO,수출,129565
1994,5,1994-05,II,수입,151279
1996,6,1996-06,II,수입,199022.5
1998,7,1998-07,OO,수출,205400.75
2000,3,2000-03,II,수입,306927
2001,10,2001-10,OO,수출,212461.5
2002,3,2002-03,II,수입,229425.5
