연도,월,연월,수출입구분,수출입구분설명,물동량
2019,3,2019-03,OT,수출환적,465834
2020,10,2020-10,OO,수출,420941.75
2023,6,2023-06,IT,수입환적,504451
1995,4,1995-04,OO,수출,163447.75
1999,3,1999-03,OO,수출,214796.75
2001,4,2001-04,II,수입,222518
2005,10,2005-10,II,수입,292338
2005,7,2005-07,OO,수출,286054.25
2007,3,2007-03,OO,수출,312618.75
2009,1,2009-01,IT,수입환적,226279
2010,11,2010-11,IT,수입환적,266473.75
2018,9,2018-09,II,수입,430940.75
2011,11,2011-11,II,수입,366109.5
2016,11,2016-11,OT,수출환적,412002.75
2016,3,2016-03,II,수입,412238.25
2020,3,2020-03,OO,수출,471675.25
2021,10,2021-10,IT,수입환적,518817.75
2023,4,2023-04,II,수입,463123
2021,2,2021-02,OO,수출,398213.75
2025,1,2025-01,OT,수출환적,588211.75
2023,9,2023-09,II,수입,455157
1993,2,1993-02,OO,수출,111308
1996,12,1996-12,OO,수출,181166.75
2005,12,2005-12,OT,수출환적,205640.5
2006,10,2006-10,OO,수출,283210.25
2003,12,2003-12,II,수입,287252
